"Institution","Recs","LCS","GCS"
"ESPOL Polytech Univ",1,1,29
"EUMETSAT",1,5,345
"Evenor Tech",1,0,0
"ExoLabs GmbH",1,0,1
"Fdn Res & Technol Hellas FORTH",1,0,18
"Fed Stat Off FSO",1,0,1
"Fed Univ Bahia UFBA",1,0,0
"Fed Univ Technol Parana UTFPR",1,0,0
"First Geol Survey Explorat Inst Henan Bur Geoexplo",1,0,10
"Flinders Univ S Australia",1,0,2
"Fraunhofer IOSB",1,0,4
"French Agr Res Ctr Int Dev",1,0,17
"Fudan Univ",1,0,0
"Gachon Univ",1,1,36
"German Aerosp Ctr",1,4,492
"German Res Ctr Artificial Intelligence DFKI",1,1,18
"Guangdong Univ Finance & Econ",1,0,6
"Guangxi Univ Sci & Technol",1,0,0
"Guangzhou Univ",1,0,7
"Guizhou Univ Commerce",1,0,1
"Hainan Univ",1,0,20
"Harbin Inst Technol",1,0,20
"Harbin Inst Technol HIT",1,0,39
"Harbin Normal Univ",1,0,3
"Hebei Engn Univ",1,0,0
"Heidelberg Univ",1,15,195
"Heilongjiang Inst Technol",1,0,3
"Helmholtz Zentrum Dresden Rossendorf",1,2,27
"Henan Key Lab Big Data Anal & Proc",1,0,0
"HIT Artificial Intelligence Res Inst Co Ltd",1,1,31
"Hong Kong Polytech Univ",1,0,15
"Huaqiao Univ",1,0,35
"Huazhong Agr Univ",1,1,31
"Hubei Coinnovat Ctr Basic Educ Informat Technol Se",1,0,0
"Hubei Prov Key Lab Green Intelligent Comp Power Ne",1,0,1
"Hubei Univ Educ",1,0,0
"Hubei Univ Technol",1,0,1
"Hunan Police Acad",1,0,0
"Independent Univ Bangladesh IUB",1,0,0
"Indian Inst Space Sci & Technol",1,0,13
"Indian Inst Technol",1,1,13
"Indiana State Univ",1,0,45
"Inst Adv Res Artificial Intelligence IARAI",1,0,5
"Inst Nacl Pesquisas Espaciais INPE",1,0,0
"Inst Smart City & Big Data Technol Qingdao",1,0,5
"Inst Zooprofilatt Sperimentale Abruzzo & Molise G",1,0,35
"Islamic Azad Univ",1,0,1
"Islamic Univ",1,0,1
"JCGCS",1,0,127
"Jeonbuk Natl Univ",1,0,17
"Jiangsu Univ",1,0,1
"Jiangxi Normal Univ",1,3,40
"Jin Ind Grp Co Ltd",1,1,6
"Jouf Univ",1,0,35
"Kauel Inc",1,1,29
"Kaunas Univ Technol",1,0,7
"Key Lab Visual Media Intelligent Proc Technol Zhe",1,0,33
"King Abdulaziz Univ",1,0,0
"King Faisal Univ",1,0,0
"KN Toosi Univ Technol",1,0,3
"Kunming Univ Sci & Technol",1,0,0
"Kyungpook Natl Univ",1,0,0
"Liaocheng Univ",1,0,1
"Liaoning Normal Univ",1,0,0
"Liaoning Tech Univ",1,0,1
"Liuzhou Survey & Mapping Res Inst Co Ltd",1,0,0
"Loughborough Univ",1,0,8
"Macau Univ Sci & Technol",1,0,1
"Maison Teledetect",1,0,59
"Majmaah Univ",1,0,0
"Malla Reddy Engn Coll & Management Sci",1,0,0
"Manchester Metropolitan Univ",1,3,15
"Manonmaniam Sundaranar Univ",1,0,1
"Mantle Labs",1,0,3
"Maryam Abacha Amer Univ Nigeria",1,0,0
"Mem Univ Newfoundland",1,0,95
"Michigan Technol Univ",1,0,6
"Mil Geog Inst",1,0,11
"Minist Nat Resources China",1,0,1
"Mohammed V Univ",1,0,4
"Mohammed V Univ Rabat",1,0,0
"Mohammed VI Polytech Univ",1,0,4
"Mongolian Univ Sci & Technol",1,0,78
"Nandha Engn Coll",1,0,1
"Nanjing Audit Univ",1,0,5
"Nanjing Tech Univ",1,0,2
"Nanjing Univ Aeronaut & Astronaut",1,1,9
"Nanjing Univ Posts & Telecommun",1,0,5
