id	keyword	occurrences	total link strength
28	cnn	23	72
52	deep learning	33	101
69	ensemble learning	3	9
78	feature extraction	9	34
89	fusion	23	72
106	hyperspectral imaging	7	26
112	image classification	7	29
134	land-cover classification	30	84
143	lidar	5	21
170	multisource	4	17
208	remote sensing	12	36
225	scale	3	7
227	scene classification	3	6
230	semantic segmentation	9	30
231	semantics	3	11
246	spectral-spatial classification	3	13
